BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Bathroom,Point of Contact
2,12500,850,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,2,Contact Owner
1,7500,350,Carpet Area,Baghajatin,Kolkata,Unfurnished,1,Contact Owner
2,15000,900,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,2,Contact Owner
2,6000,550,Super Area,Vip Road,Kolkata,Semi-Furnished,1,Contact Owner
2,5000,500,Carpet Area,Baruipur,Kolkata,Unfurnished,2,Contact Owner
3,22000,1100,Carpet Area,Dumdum Park,Kolkata,Unfurnished,1,Contact Owner
2,15000,850,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,1,Contact Owner
2,12500,800,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,1,Contact Agent
2,7000,630,Carpet Area,Birati,Kolkata,Unfurnished,1,Contact Owner
2,21000,900,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,2,Contact Owner
1,10000,270,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,1,Contact Owner
2,7200,630,Carpet Area,Birati,Kolkata,Semi-Furnished,1,Contact Owner
3,12000,1500,Carpet Area,Bhadrakali,Kolkata,Furnished,2,Contact Owner
1,5000,600,Super Area,Behala,Kolkata,Unfurnished,1,Contact Owner
2,8500,700,Carpet Area,Baruipur,Kolkata,Semi-Furnished,1,Contact Owner
1,6000,300,Super Area,Ballygunge,Kolkata,Semi-Furnished,1,Contact Owner
2,10000,1300,Super Area,Kalikapur,Kolkata,Semi-Furnished,2,Contact Owner
2,4600,400,Carpet Area,Behala,Kolkata,Semi-Furnished,1,Contact Owner
2,12000,650,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,2,Contact Owner
3,30000,2000,Super Area,Behala,Kolkata,Semi-Furnished,2,Contact Owner
3,15000,1068,Super Area,Bansdroni,Kolkata,Semi-Furnished,2,Contact Owner
1,7500,150,Super Area,Salt Lake City,Kolkata,Furnished,1,Contact Owner
1,7500,450,Carpet Area,New Town,Kolkata,Unfurnished,1,Contact Owner
2,5000,800,Carpet Area,Baruipur,Kolkata,Unfurnished,1,Contact Owner
2,15000,1000,Super Area,Bansdroni,Kolkata,Unfurnished,2,Contact Owner
2,11000,900,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,1,Contact Owner
1,7000,600,Carpet Area,Behala,Kolkata,Unfurnished,1,Contact Owner
2,6000,1200,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,1,Contact Owner
2,6000,1200,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,2,Contact Owner
2,7000,650,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,2,Contact Owner
2,8500,720,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,2,Contact Owner
1,5000,300,Carpet Area,Kasba,Kolkata,Unfurnished,1,Contact Owner
3,30000,1200,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,3,Contact Agent
2,10000,700,Carpet Area,Sarsuna,Kolkata,Unfurnished,2,Contact Owner
3,30000,2000,Super Area,Naihati,Kolkata,Semi-Furnished,2,Contact Owner
1,3500,250,Super Area,Baksara,Kolkata,Semi-Furnished,1,Contact Owner
2,8000,1100,Carpet Area,Naihati,Kolkata,Unfurnished,1,Contact Owner
1,5000,300,Carpet Area,Kasba,Kolkata,Unfurnished,1,Contact Owner
2,7500,600,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,1,Contact Owner
2,6500,800,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,1,Contact Owner
1,7500,680,Super Area,Jadavpur,Kolkata,Unfurnished,1,Contact Owner
1,7500,680,Super Area,Jadavpur,Kolkata,Unfurnished,1,Contact Owner
2,16000,850,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,1,Contact Agent
2,16000,850,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,1,Contact Agent
2,6500,700,Super Area,Bandel,Kolkata,Unfurnished,1,Contact Owner
3,40000,1500,Super Area,Beliaghata,Kolkata,Unfurnished,2,Contact Owner
2,12500,950,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,2,Contact Owner
2,5500,500,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,1,Contact Owner
1,5000,450,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,1,Contact Owner
2,6500,700,Super Area,Sonarpur,Kolkata,Unfurnished,1,Contact Owner
1,8000,500,Super Area,Lake Town,Kolkata,Unfurnished,1,Contact Owner
3,14500,1800,Super Area,Belghoria,Kolkata,Semi-Furnished,2,Contact Owner
1,8200,500,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,1,Contact Owner
2,15000,480,Carpet Area,shukhobrishti,Kolkata,Furnished,2,Contact Owner
6,20000,1000,Super Area,Sonarpur,Kolkata,Semi-Furnished,2,Contact Owner
2,6700,800,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,1,Contact Owner
1,10000,435,Super Area,Kasba,Kolkata,Unfurnished,1,Contact Owner
2,7000,700,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,2,Contact Agent
2,22000,800,Super Area,"Hazra, Kalighat",Kolkata,Furnished,1,Contact Agent
2,6500,450,Super Area,Ajoy Nagar,Kolkata,Unfurnished,1,Contact Owner
2,8500,550,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,1,Contact Agent
2,18000,800,Carpet Area,Salt Lake City,Kolkata,Unfurnished,2,Contact Agent
2,12000,550,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,2,Contact Owner
1,9000,600,Super Area,Behala,Kolkata,Furnished,1,Contact Owner
1,6000,500,Super Area,"New Garia, Garia",Kolkata,Unfurnished,1,Contact Owner
2,20000,1000,Super Area,Anandapur,Kolkata,Furnished,2,Contact Owner
1,5000,300,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,1,Contact Owner
2,12000,1200,Super Area,Boral,Kolkata,Furnished,2,Contact Owner
2,10000,500,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,1,Contact Owner
4,18000,1200,Super Area,Bagbazar,Kolkata,Unfurnished,2,Contact Owner
2,15000,900,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,2,Contact Agent
3,22000,1300,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,3,Contact Agent
4,35000,1600,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,3,Contact Agent
3,21000,1450,Super Area,Ajoy Nagar,Kolkata,Unfurnished,2,Contact Owner
2,25000,1100,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,2,Contact Agent
2,180000,950,Carpet Area,"Avenue S, Santoshpur",Kolkata,Unfurnished,2,Contact Owner
1,6000,600,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,1,Contact Owner
2,14000,700,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,2,Contact Owner
3,8000,750,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,1,Contact Owner
2,8000,1000,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,1,Contact Owner
1,6000,220,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,1,Contact Owner
1,8000,300,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,1,Contact Agent
1,6000,300,Carpet Area,Tiljala Road,Kolkata,Unfurnished,1,Contact Agent
1,20000,700,Super Area,Sankaritola,Kolkata,Semi-Furnished,1,Contact Owner
3,12000,800,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,2,Contact Owner
3,15000,1600,Super Area,Garia,Kolkata,Unfurnished,2,Contact Owner
2,14000,1000,Carpet Area,Kasba,Kolkata,Unfurnished,2,Contact Owner
1,5000,20,Super Area,Dakshineswar,Kolkata,Unfurnished,1,Contact Owner
2,7000,400,Carpet Area,chatana,Kolkata,Unfurnished,1,Contact Owner
1,3900,200,Super Area,Shyam Bazar,Kolkata,Furnished,1,Contact Owner
3,14000,840,Carpet Area,Mukundapur,Kolkata,Unfurnished,2,Contact Owner
1,6300,300,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,1,Contact Agent
2,13000,550,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,2,Contact Agent
1,6800,300,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,1,Contact Agent
2,8000,800,Super Area,Behala Chowrasta,Kolkata,Unfurnished,2,Contact Owner
2,10000,740,Carpet Area,Sonarpur,Kolkata,Unfurnished,1,Contact Owner
2,18000,1300,Super Area,Santoshpur,Kolkata,Unfurnished,2,Contact Owner
2,8000,650,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,1,Contact Owner
2,8000,490,Super Area,Entally,Kolkata,Semi-Furnished,1,Contact Owner
1,4700,250,Super Area,Kaikhali,Kolkata,Furnished,1,Contact Owner
1,4700,250,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,1,Contact Owner
1,4500,450,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,1,Contact Owner
1,6000,300,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,1,Contact Owner
2,16000,750,Super Area,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,2,Contact Owner
1,4700,250,Super Area,Kaikhali,Kolkata,Furnished,1,Contact Owner
2,14000,751,Carpet Area,Baghajatin,Kolkata,Unfurnished,1,Contact Owner
2,9000,900,Carpet Area,Lake Town,Kolkata,Semi-Furnished,1,Contact Owner
2,5000,400,Carpet Area,Keshtopur,Kolkata,Semi-Furnished,1,Contact Owner
2,17500,1000,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,2,Contact Agent
2,8500,1000,Carpet Area,South Baksara,Kolkata,Unfurnished,1,Contact Owner
3,15000,1500,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,2,Contact Owner
2,12500,750,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,2,Contact Owner
1,13000,1200,Super Area,Kasba,Kolkata,Semi-Furnished,1,Contact Owner
2,8000,700,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,1,Contact Owner
2,8000,700,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,1,Contact Owner
2,8000,1000,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,1,Contact Owner
2,7000,1200,Super Area,Konnagar,Kolkata,Unfurnished,2,Contact Owner
2,2200,550,Super Area,Behala silpara,Kolkata,Furnished,1,Contact Owner
2,8000,800,Carpet Area,Vip Road,Kolkata,Unfurnished,1,Contact Owner
2,5500,280,Super Area,New Barrakpur,Kolkata,Unfurnished,1,Contact Owner
3,20000,1100,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,3,Contact Owner
2,7000,950,Super Area,Kaikhali,Kolkata,Unfurnished,1,Contact Agent
1,3500,250,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,1,Contact Owner
2,5000,1000,Carpet Area,Hindmotor,Kolkata,Unfurnished,1,Contact Owner
3,20000,1000,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,2,Contact Owner
2,7000,650,Super Area,Howrah,Kolkata,Unfurnished,1,Contact Owner
2,10000,700,Super Area,Benia Pukur,Kolkata,Unfurnished,2,Contact Owner
2,7000,700,Carpet Area,Baguiati,Kolkata,Unfurnished,1,Contact Owner
3,12000,1000,Super Area,E M Bypass,Kolkata,Semi-Furnished,2,Contact Owner
2,14500,900,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,2,Contact Owner
1,6000,700,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,1,Contact Owner
2,9500,700,Super Area,Jadavpur,Kolkata,Unfurnished,2,Contact Owner
2,10000,450,Carpet Area,Behala,Kolkata,Semi-Furnished,2,Contact Owner
1,3500,120,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,1,Contact Owner
2,9000,800,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,2,Contact Owner
3,40000,1220,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,2,Contact Owner
3,16500,1100,Super Area,Mominpur,Kolkata,Unfurnished,1,Contact Owner
3,8000,700,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,2,Contact Owner
2,12000,800,Super Area,Santoshpur,Kolkata,Furnished,1,Contact Owner
2,6500,670,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,1,Contact Owner
4,40000,1300,Super Area,Ballygunge,Kolkata,Unfurnished,3,Contact Owner
1,5000,190,Super Area,Baguihati,Kolkata,Semi-Furnished,1,Contact Owner
2,9000,700,Super Area,Kabardanga,Kolkata,Semi-Furnished,1,Contact Owner
1,7000,240,Carpet Area,Jadavpur,Kolkata,Unfurnished,1,Contact Owner
2,18000,850,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,1,Contact Owner
1,9000,950,Super Area,Haltu,Kolkata,Unfurnished,2,Contact Owner
1,5500,450,Carpet Area,Botanical Garden Area,Kolkata,Furnished,1,Contact Owner
2,7500,800,Carpet Area,Bonhooghly,Kolkata,Unfurnished,1,Contact Owner
2,4000,600,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,1,Contact Owner
3,10500,800,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,2,Contact Owner
3,15000,1100,Carpet Area,Survey Park,Kolkata,Unfurnished,2,Contact Owner
2,15000,800,Carpet Area,Baguiati,Kolkata,Furnished,1,Contact Owner
1,50000,2200,Super Area,Kanchrapara,Kolkata,Furnished,3,Contact Owner
2,12000,950,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,2,Contact Owner
2,11000,550,Carpet Area,Ultadanga,Kolkata,Unfurnished,1,Contact Owner
2,12000,1800,Carpet Area,Birati,Kolkata,Unfurnished,2,Contact Owner
2,8000,1000,Super Area,"Chinar Park, Rajarhat",Kolkata,Furnished,1,Contact Owner
2,18000,600,Super Area,Bagha Jatin Pally,Kolkata,Semi-Furnished,2,Contact Owner
2,8000,750,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,2,Contact Owner
2,7000,685,Super Area,Dum Dum Metro,Kolkata,Unfurnished,1,Contact Agent
1,6500,44,Carpet Area,Baranagar,Kolkata,Furnished,1,Contact Owner
4,13000,1200,Carpet Area,Tollygunge,Kolkata,Unfurnished,1,Contact Owner
2,9000,500,Carpet Area,Airport Near Gate No. 21/2,Kolkata,Unfurnished,1,Contact Owner
4,10000,1110,Carpet Area,Purbasa,Kolkata,Unfurnished,2,Contact Owner
2,12000,1000,Super Area,Jadavpur,Kolkata,Unfurnished,2,Contact Owner
2,5000,392,Super Area,Jadavpur,Kolkata,Unfurnished,1,Contact Owner
2,6000,700,Super Area,Barasat-Barrackpore Road,Kolkata,Unfurnished,1,Contact Owner
1,5200,750,Super Area,Keshtopur,Kolkata,Unfurnished,1,Contact Owner
3,15000,1500,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,2,Contact Owner
2,9000,900,Super Area,Keshtopur,Kolkata,Unfurnished,2,Contact Owner
1,24000,710,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,1,Contact Agent
1,5500,400,Carpet Area,jadavpur central park east,Kolkata,Unfurnished,1,Contact Owner
1,10000,700,Carpet Area,Garia,Kolkata,Unfurnished,1,Contact Owner
2,15000,1000,Carpet Area,Tn Chatterjee Street,Kolkata,Semi-Furnished,1,Contact Owner
1,4700,250,Super Area,Kaikhali,Kolkata,Furnished,1,Contact Owner
1,5000,500,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,1,Contact Owner
2,5000,450,Carpet Area,Birati,Kolkata,Semi-Furnished,1,Contact Owner
3,15000,1400,Super Area,Survey Park,Kolkata,Unfurnished,1,Contact Owner
1,5000,500,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,1,Contact Owner
2,6000,700,Carpet Area,Hatiara Extention,Kolkata,Unfurnished,1,Contact Owner
3,18000,1200,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,1,Contact Owner
2,8000,450,Carpet Area,Andul,Kolkata,Unfurnished,1,Contact Owner
1,13000,500,Carpet Area,Salt Lake City Sector 2,Kolkata,Furnished,1,Contact Agent
2,7500,400,Carpet Area,locality,Kolkata,Unfurnished,1,Contact Owner
3,12000,1000,Super Area,Khardah,Kolkata,Unfurnished,2,Contact Owner
2,11000,750,Carpet Area,Parnasree Pally,Kolkata,Unfurnished,1,Contact Owner
1,6000,450,Super Area,Baghajatin,Kolkata,Unfurnished,1,Contact Owner
3,20000,1000,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,2,Contact Agent
2,7000,500,Carpet Area,sarsuna banerjee para,Kolkata,Unfurnished,2,Contact Owner
4,30000,1600,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,2,Contact Agent
2,7500,550,Carpet Area,Near Seven Tanks Road Dumdum Station,Kolkata,Unfurnished,1,Contact Owner
1,6500,550,Super Area,Jyangra,Kolkata,Unfurnished,2,Contact Owner
1,3000,200,Super Area,Barasat,Kolkata,Unfurnished,1,Contact Owner
2,5200,650,Carpet Area,Sukchar,Kolkata,Unfurnished,1,Contact Owner
2,25000,1000,Super Area,"Tagore Park, Kasba",Kolkata,Furnished,2,Contact Owner
2,12500,680,Carpet Area,Barrackpore,Kolkata,Unfurnished,2,Contact Owner
2,8500,720,Carpet Area,"Silpara, Purba Barisha",Kolkata,Unfurnished,2,Contact Owner
2,3500,500,Carpet Area,Konnagar,Kolkata,Unfurnished,1,Contact Owner
2,7000,800,Super Area,Madhyam Gram,Kolkata,Unfurnished,1,Contact Owner
1,3000,160,Super Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,1,Contact Owner
2,14000,1200,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,2,Contact Agent
1,18000,700,Super Area,Salt Lake City Sector 3,Kolkata,Furnished,1,Contact Owner
1,3500,1000,Super Area,Dum Dum Cantonment,Kolkata,Semi-Furnished,1,Contact Owner
2,16000,1250,Super Area,Kasba,Kolkata,Unfurnished,2,Contact Agent
4,35000,1600,Super Area,Salt Lake City,Kolkata,Unfurnished,3,Contact Owner
2,21000,700,Super Area,Lake Gardens,Kolkata,Semi-Furnished,1,Contact Owner
1,4500,450,Super Area,"Silpara, Purba Barisha",Kolkata,Unfurnished,1,Contact Owner
2,15000,839,Super Area,Howrah,Kolkata,Semi-Furnished,2,Contact Owner
1,4500,230,Super Area,Birati,Kolkata,Unfurnished,1,Contact Owner
1,5500,1800,Super Area,Baranagar,Kolkata,Unfurnished,1,Contact Owner
2,8500,800,Super Area,Baguihati,Kolkata,Unfurnished,2,Contact Owner
1,5000,500,Carpet Area,BRAHMAPUR NEAR BANSDRONI,Kolkata,Semi-Furnished,1,Contact Owner
2,8500,620,Carpet Area,Kasba,Kolkata,Unfurnished,1,Contact Owner
2,9000,650,Carpet Area,tollygunge Kabardanga,Kolkata,Unfurnished,1,Contact Owner
1,7500,550,Super Area,"Naktala, Garia",Kolkata,Semi-Furnished,1,Contact Agent
2,7000,450,Carpet Area,safuipara,Kolkata,Furnished,2,Contact Owner
3,15000,1350,Carpet Area,"Annapurna Apartment, Rajarhat Chowmatha",Kolkata,Unfurnished,2,Contact Owner
2,7000,600,Super Area,"Park Circus, Ballygunge",Kolkata,Semi-Furnished,2,Contact Owner
3,10000,1200,Super Area,Belghoria,Kolkata,Furnished,1,Contact Owner
2,7000,700,Super Area,"Haridevpur, Paschim Putiary",Kolkata,Unfurnished,1,Contact Agent
3,3200,800,Carpet Area,Bhawanipur,Kolkata,Furnished,2,Contact Owner
2,6000,600,Carpet Area,Santoshpur,Kolkata,Semi-Furnished,1,Contact Owner
2,12000,900,Super Area,Tollygunge,Kolkata,Unfurnished,2,Contact Owner
2,6000,750,Super Area,Behala,Kolkata,Unfurnished,1,Contact Owner
3,10000,1250,Super Area,Jaffarpore Rifle Range Road,Kolkata,Unfurnished,2,Contact Owner
3,12000,1000,Super Area,Dariya,Kolkata,Semi-Furnished,3,Contact Owner
2,8000,600,Super Area,Howrah,Kolkata,Semi-Furnished,1,Contact Owner
2,5300,650,Carpet Area,Sodepur,Kolkata,Unfurnished,1,Contact Owner
2,5000,450,Carpet Area,Liluah,Kolkata,Unfurnished,1,Contact Owner
3,8500,800,Super Area,Near DumDum Metro,Kolkata,Unfurnished,2,Contact Owner
3,22000,1000,Carpet Area,"Sukanta Nagar, New Barrakpur",Kolkata,Semi-Furnished,2,Contact Owner
2,7000,1000,Super Area,"Kumarpara, Narendrapur",Kolkata,Unfurnished,1,Contact Owner
3,25000,1400,Carpet Area,Salt Lake City,Kolkata,Furnished,3,Contact Agent
2,7000,600,Carpet Area,Barrackpore,Kolkata,Semi-Furnished,1,Contact Owner
2,15000,723,Carpet Area,Narendrapur,Kolkata,Furnished,1,Contact Owner
1,6000,320,Carpet Area,Sahid Nagar,Kolkata,Unfurnished,1,Contact Owner
2,8000,900,Super Area,Belghoria,Kolkata,Semi-Furnished,1,Contact Owner
3,40000,1400,Carpet Area,Salt Lake City Sector 2,Kolkata,Furnished,2,Contact Agent
1,6000,2160,Super Area,Kasba,Kolkata,Semi-Furnished,1,Contact Owner
2,15000,650,Carpet Area,kasba bosepukur,Kolkata,Semi-Furnished,1,Contact Owner
2,6500,800,Super Area,Kanchrapara,Kolkata,Semi-Furnished,1,Contact Owner
3,8000,800,Super Area,Bansdroni,Kolkata,Semi-Furnished,1,Contact Owner
1,5500,500,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,1,Contact Owner
3,9000,1700,Super Area,Panchanantala Road,Kolkata,Semi-Furnished,2,Contact Owner
1,6000,130,Carpet Area,Bow Bazar,Kolkata,Semi-Furnished,1,Contact Owner
1,15000,505,Super Area,Kasba,Kolkata,Furnished,1,Contact Owner
4,30000,4000,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Furnished,3,Contact Agent
3,30000,1250,Super Area,New Alipore,Kolkata,Unfurnished,2,Contact Owner
1,5000,700,Carpet Area,My Own House,Kolkata,Unfurnished,1,Contact Owner
2,15000,900,Super Area,"Park Circus, Ballygunge",Kolkata,Unfurnished,1,Contact Owner
1,6500,650,Super Area,Joka,Kolkata,Semi-Furnished,1,Contact Owner
2,4500,750,Super Area,Azadgarh,Kolkata,Furnished,1,Contact Owner
2,7000,450,Carpet Area,Mandirtala,Kolkata,Unfurnished,1,Contact Owner
1,6500,350,Carpet Area,Dhakuria,Kolkata,Semi-Furnished,1,Contact Owner
1,17500,480,Carpet Area,Rabindra Sarovar Metro,Kolkata,Furnished,2,Contact Owner
2,10000,900,Super Area,Garia,Kolkata,Unfurnished,1,Contact Owner
1,1500,200,Super Area,Santoshpur,Kolkata,Semi-Furnished,1,Contact Owner
3,25000,1100,Super Area,"Regent Estate, Bijoygarh",Kolkata,Unfurnished,3,Contact Owner
2,12000,800,Carpet Area,Kasba,Kolkata,Unfurnished,1,Contact Owner
3,7500,1000,Carpet Area,south station pally dankuni,Kolkata,Furnished,2,Contact Owner
1,7000,800,Carpet Area,Kumargali,Kolkata,Unfurnished,1,Contact Owner
1,3500,200,Super Area,Baguihati,Kolkata,Semi-Furnished,1,Contact Owner
3,10000,1190,Carpet Area,Sarsuna,Kolkata,Unfurnished,2,Contact Owner
2,14000,900,Carpet Area,Salt Lake City,Kolkata,Unfurnished,2,Contact Agent
2,15000,1500,Super Area,Garia,Kolkata,Unfurnished,2,Contact Owner
2,6500,600,Super Area,Thakurpukur,Kolkata,Unfurnished,1,Contact Owner
3,10000,800,Super Area,Brahmapur,Kolkata,Unfurnished,1,Contact Owner
2,10500,800,Carpet Area,Santoshpur,Kolkata,Unfurnished,2,Contact Owner
3,10000,900,Carpet Area,Garia,Kolkata,Semi-Furnished,2,Contact Owner
1,5000,350,Carpet Area,Purba Barisha,Kolkata,Semi-Furnished,1,Contact Owner
2,9000,800,Carpet Area,Sodepur,Kolkata,Unfurnished,1,Contact Owner
2,20000,1600,Carpet Area,Jadavpur University,Kolkata,Unfurnished,2,Contact Owner
3,35000,1012,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,2,Contact Owner
3,15000,1200,Carpet Area,"Pathak Para, Behala",Kolkata,Unfurnished,2,Contact Owner
2,20000,700,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,1,Contact Owner
2,12000,1000,Super Area,Behala,Kolkata,Semi-Furnished,1,Contact Owner
2,8000,800,Carpet Area,Thakurpukur,Kolkata,Unfurnished,1,Contact Owner
1,3000,500,Super Area,Hatiara,Kolkata,Semi-Furnished,1,Contact Owner
